MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_3192,3.72,[3.7:3.74],1,0.998,0.936
Molecule_3193,1.01,[0.99:1.03],1,0.998,0.91
Molecule_3194,7.25,[7.18:7.32],1,0.998,0.784
Molecule_3195,2.82,[2.79:2.85],1,0.998,0.956
Molecule_3196,0.7,[0.67:0.73],1,0.999,0.988
Molecule_3197,3.36,[3.3:3.42],1,0.998,0.97
Molecule_3198,0.6,[0.57:0.63],1,0.998,0.912
Molecule_3199,3.5,[2.94:4.06],1,0.601,0.635
Molecule_3200,7.3,[5.55:9.05],0,0.411,0.303
Molecule_3201,5,[4.97:5.03],1,0.998,0.952
Molecule_3202,3.23,[2.9:3.56],1,0.478,0.654
Molecule_3203,3,[2.98:3.02],1,0.998,0.899
Molecule_3204,0.02,[0:0.04],1,0.998,0.977
Molecule_3205,-0.04,[-0.57:0.49],1,0.347,0.478
Molecule_3206,4.06,[3.51:4.61],1,0.522,0.714
Molecule_3207,3.3,[3.22:3.3],1,0.998,0.796
Molecule_3208,3.64,[3.58:3.7],1,0.998,0.95
Molecule_3209,0.79,[-0.69:2.27],1,0.395,0.355
Molecule_3210,0.4,[-0.15:0.95],1,0.671,0.685
Molecule_3211,0.35,[0.33:0.37],1,0.998,0.866
Molecule_3212,-0.85,[-0.91:-0.79],1,0.998,0.898
Molecule_3213,-0.06,[-0.06:-0.03],1,0.998,0.888
Molecule_3214,6.33,[6.25:6.41],1,0.998,0.816
Molecule_3215,3.31,[3.3:3.4],1,0.998,0.805
Molecule_3216,0.6,[0.22:1.09],1,0.676,0.737
Molecule_3217,0.18,[0.15:0.21],1,0.998,0.967
Molecule_3218,0.86,[-2.04:3.76],1,0.57,0.141
Molecule_3219,-0.06,[-0.48:0.36],1,0.644,0.709
Molecule_3220,6.23,[5.5:7.03],1,0.522,0.553
Molecule_3221,6.99,[5.8:8.18],1,0.448,0.417
Molecule_3222,4.29,[4.23:4.35],1,0.998,0.896
Molecule_3223,6.57,[6:7.45],0,0.372,0.448
Molecule_3224,1.05,[-1.41:3.51],1,0.499,0.207
Molecule_3225,4.12,[2.19:6.05],1,0.449,0.271
Molecule_3226,5.22,[3.62:6.82],0,0.271,0.279
Molecule_3227,-1.01,[-2.38:0.36],1,0.52,0.424
Molecule_3228,-1.39,[-2.41:-0.37],1,0.567,0.511
Molecule_3229,-2.27,[-4.05:-0.49],0,0.402,0.274
Molecule_3230,2.7,[2.1:3.21],1,0.664,0.653
Molecule_3231,2.3,[1.94:2.66],1,0.733,0.76
